reference	hypA	nbrA	hypB	nbrB
à l' ensemble des des des des pays y a plus aujourd'hui d' ailleurs de de	à l' ensemble des des des des des des pays euh il y a plus aujourd' hui d' ailleurs de de	7	à l' ensemble des des des des des payseh y a plus aujourd' hui d' ailleurs de de	0
au petit jeu du my tailor is rich	petit jeu du manque de talent ils jouaient chez	1	au petit jeu du miiggtell ezriach	6
madame vers nous	madame bernourde	6	madame bernande	1
alors ronald du côté de l' organisation y a il y a t il encore quelques points noirs à régler	euh ronald du côté de l' organisation il y a y a-t-il encore quelques points noirs à régler	7	euh ren aldes du côté de l' organisation y a y a-t-il encore quelques points noirs à régler	0
parce que tous les deux sarkozy comme hollande avaient la	e tous les deux sarkozy comme hollande avait la	6	que tous les deux sarkozy comme henlande avait la	1
en portant effectivement un renouveau de nos idées un renouveau de nos pratiques un renouveau	portant effectivement un renouveau de nos idées renouveau de nos pratiques un renouveau	5	en portant effectivement à renouveau de nos idées à renouveau de nos pratiques à renouveau	2
et cela en tuant le chef des opérations militaires du hamas écoutez	et cela entuant le chef des opérations militaires du hamas écoutez	1	et cela en tuant le chef des opérations militaires du amas écoutez	6
ils ont réussi à monter en gamme regardez les vins du languedoc roussillon	il)s ont réussi à monter en garme regardez les vings du doncgudoce roussillon	1	ils ont réussi à monter en garme regardez les vin du donge doc roussillon	6
oui c' est déjà la douche froide et puis et puis les records	oui c' est la douche froide et puis et puis les records	4	oui c' est déjà la douche froide et puis e puis les records euh	3
le peuple de france	pas de france	1	y a pas peu de france	6
assez de fuites pour tenir en haleine les futurs quatre milliards de téléspectateurs il y a eu quelques	assez de fuite pour tenir en halaine les futurs quatre milliards de téléspectateurs il y a eu quelques	7	assez de fuite pour tenir en à l' aine les futurs quatre milliards de téléspectateurs il y a eu quelques	0
c' est difficile quand on augmente davantage les dépenses	c' est difficile dont on augmente d avantage les dépenses	7	c' est difficile dont on augoerse davantage les dépensees)	0
aussi les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont retraités	si les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont retraités	3	aussi les collectivités la cgt ne touche que les ménages que les français qui travaillent ou qui sont retraités	4
écoutez c' est hamas qui a commencé à bombarder	écoutez c' est un masque a commencé à bombarder	0	écoutez c' est un masse qui a commencé à bombarder	7
par rapport à l' antenne	bon à long terme	0	par rapport à l' angtenne	7
françois hollande est en tête au premier tour à trente pour cent et gagne	hollande est en tête au premier tour à trente pour cent et gagne	0	françois hollande est en tête au premier tour à trente pourcent et gagne	7
je peux vous dire que y a pas de stress en tout cas y en a beaucoup moins	je peux vous dire qu' il y a pas de stresse en tout cas il y en a beaucoup moins	6	je peux vous dire qu' il y a pasde stresse en tout cas l y en a beaucoup moins	1
la compagnie aérienne propose à ses pilotes de travailler pour sa filiale low cost transavia	la compagnie aérienne propose à ses pilotes de travailler pour sa filiale locoste transavia	5	la compagnie aérienne propose à ses pilotes de travailler pour sa filiale lo causte trans avia	2
levez vous s' il vous plaît et puis enfin laurent neumann pour marianne bonjour	levezvous s' il vous plaît et puis enfin laurent neumann pour marianne bonjour	6	levnez-vous s' il vous plaît et puis enfin laurent neumann pour marianne bonjour	1
il reconnaît sans langue de bois ses difficultés	il reconnaît sans lanque de bois ses difficultés	7	il reconnaît sans manque de bois ses difficultés	0
on s' aperçoit que c' était une action utile	on s' aperçoit que c' était une action type	0	s' aperçoit que c' était une action utile	7
davantage au cortex qu' aux tripes	davantage au ctexteco trique	1	davantage au corps texcotrique	6
c' est moins que pékin mais c' est beaucoup plus que tous les les autres jo	et moi que pékin mais c' est beaucoup plus que tous les les autres	4	c' est moins que pékin mais c' est beaucoup plus que tous les les les autres egons	3
ensuite est ce qu' il va pouvoir violer son caractère profond	ensuite est-ce qu' i(l va pouvoir euh eu violer son caractère profond	0	ensuite est-ce qu' il va pouvoir euheuh violer son caractère profond	7
il y a le risque des interactions	y a le risque des interactions	4	l y a le risque des interactions	3
où se réunissent ce soir et demain l' association des des amis de nicolas sarkozy	se réunissent ce soir et demain l' association des des amis de nicolas sarkozy	3	où se réunissent ce soir et demain l' association des des amis nicolas sarkozy	4
entre jean louis debré et nicolas sarkozy ils se sont croisés tous les deux	jean louis debré nicolas sarkozy se sont croisés tous les deux	2	entre jean-louis debré et nicolas sarkozy se sont croisés tous les deux	5
alors un mot d' abord sur le millefeuille	un mot d' abord sur le mille feuille	6	alors un mot d' abord sur le mchaille	1
qui est un aciériste un industriel qui n' est pas un financier	c' est un aciéristes un industriel qui n' est pas un financier	4	qui est un assiériste un industriel qui n' est pas un financier	3
êtes vous sûr que ce gagnant va rester en france avec les impôts	etes vous sûr que ce gagnant va rester en france avec les impôts	6	êtes-vous sûr que ce gagnant va rester en france avec euh les impôts	1
mais le sujet esquive le sujet mais l' express nous assure que depuis deux mois	le sujet est ce qu' il veut le sujet mais l' express nous assure que depuis deux mois	4	mais le sujet euh est-ce qu' il le sujet mais l' express nous assure que depuis deux mois	3
et quand on vous dit que les fans sont prêtes à tout c' est vraiment prêtes à tout	et quand on vous dit que les falles sont prêtes à tout c' est vraiment prêt de tout	5	et quand on vous dit que les felmes sont prêtes à tout c i vraiment prêt à tout	2
des fans prêtes à tout pour revoir leur star favorite	des fans prêt à tout pour revoir leurs stars favores	0	des fannes prêtes à tout pour revoir leur star favorite	7
c' est bien c' est bien c' est un tube ça	eh bien c' est à dire ça ça	2	sit bien je vais vie c es ça je sens tube ça	5
pourquoi c' est quoi le tien	pourquoi c' est quoi le tient	6	pourquoi c' est quoi altia	1
je crois qu' il reste en tout cas une référence pour beaucoup d' entre nous au sein de l' ump	euh je crois qu' il reste en tout cas une référence pour beaucoup d' entre nous euh au sein euh de l' ump	1	je crois qu' i(l) reste en tout cas une référence pour beaucoup d' entre nous euh au sein de l' ump	6
mais dans les jeux olympiques y a pas de logique	mais dans les jeux olympiques il y a pas de logique	7	mais dans les jeux olympiques l y a pas de logique	0
geoffroy didier guillaume peltier merci à bientôt sur bfm tv	jean froid didier guillaume peltier merci à bientôt sur bfm tv	7	jean-frodidier guillaume peltier merci eci bientôt sur bfmtv	0
de la résistance est décédé hier soir	la résistance est décédée hier soir	1	de la résistance est décédée hier soir	6
mario draghi considère que cette irréversibilité	rio draguui considère que cette irréversibilité	7	au dragui considère que cette irréversibilité	0
et puis à un moment donné un petit parcage	et puis euh à un moment donné à un petit parcuage euh	2	et puis euh à un moment donné à un petit parqage euh	5
parle avec une certaine hauteur de vue	euh parlet avec une certaine hauteur de vue	0	euh parle avec une certaine hauteur de vue	7
elle me rappelle par certains à certains égards celle de ma campagne de deux mille sept	elle me rappelle par certains euh à certains égards celle de de la campagne de deux milles sept	5	elle ne rappelle par certains à certains égards celle de de a campagne de deux mille sept	2
elle sera partie dans les sables comme d' autres avant elle	sera parti dont les sable comme d' autres avant elle	0	sera partie dans les sables comme d' autres avant elles	7
parce que juifs ou parce que chrétiens peu importe	parce que juifs ou parce que les chrétiens pimpante	0	parce qu est juif ou parce qu' est chrétien peu importe	7
il est pas encore tombé il il vacille il vacille mais il est pas encore sur le point de tomber	il est pas encore tombé il est il vacille euh il vacil mais il est pas encore venu tombé	7	il est pas encore tonbé il est il va sil e il va si mais il est pas en coron a d	0
mais ce coup de sécateur était imbécile	mais ce coup de ces qa teurs était un	3	mais ce coup de setateur était	4
rendant hommage à ces juifs morts c' est c' est quand même extraordinaire	rendant hommage à ces juifs morts c c' est quand même extraordinaire	6	rendant hommage à ces juifs mortsc' c' est quand même extraordinaire	1
intouchables rapporte beaucoup	le sable rapporte beaucoup	0	intouchable rapporte beaucoup	7
alors pourquoi valéry giscard d' estaing vote nicolas sarkozy	alors pourquoi valéri giscard d' estaing vote nicolas sarkozy	6	alors pourquoi valéry giscard d' estaing votre nicolas sarkozy	1
claude vous voulez me parler de	claude vous voulez me parler de de	7	claude vous alulez me parlez de de	0
qu' est ce qu' ils ont défendu les classes les plus riches	et ce qu' ils ont défendu les classes les plus riches	0	qu' est-ce qu ils ont défendu les classes les plus riches	7
rapport de la cour des comptes il y a aucun doute si c' est cinq cents milliards	apport de la cour des comptes il y a aucun doute si c' est cinq cents milliard	6	rapport de la cour des comptes il y a aucun doute si c' est ça sont mia	1
